id,type,category,subsection,enabled,sort_order,icon,request_kind,target_department,notify_departments,request_type,requires_note,requires_quantity,min_qty,max_qty,requires_time,time_mode,options_raw,requires_billing,price,currency,pdf_url,external_url,link_url,guest_visible,staff_visible,ai_visible,confirmation_mode,section_title_bg,section_title_de,section_title_en,section_title_ro,section_title_cs,title_bg,title_de,title_en,title_ro,title_cs,subtitle_bg,subtitle_de,subtitle_en,subtitle_ro,subtitle_cs,description_bg,description_de,description_en,description_ro,description_cs,policy_bg,policy_de,policy_en,policy_ro,policy_cs,success_bg,success_de,success_en,success_ro,success_cs,staff_label_bg,staff_label_de,staff_label_en,staff_label_ro,staff_label_cs,keywords,options_bg,options_de,options_en,options_ro,options_cs,option_image_urls,option_info_bg,option_info_en,option_info_de,option_info_ro,option_info_cs,section_title_ru,title_ru,subtitle_ru,description_ru,policy_ru,success_ru,staff_label_ru,options_ru,option_info_ru,aliases_bg,aliases_en,aliases_de,aliases_ro,aliases_cs,aliases_ru,intent_tags,ui_section_id,canonical_ref
towels,request,housekeeping,services,True,1,towel,quantity,housekeeping,,towels,False,True,1,6,False,none,,False,,,,,,True,True,True,instant,Камериерки,Housekeeping,Housekeeping,Curățenie,Úklid pokoje,Хавлии,Handtücher,Towels,Prosoape,Ručníky,,,,,,Заявете „Хавлии“ от екипа на камериерките.,„Handtücher“ beim Housekeeping anfragen.,Request “Towels” from housekeeping.,Solicitați „Prosoape” de la serviciul de curățenie.,Požádejte úklid o „Ručníky“.,,,,,,Заявката „Хавлии“ е изпратена.,Ihre Anfrage „Handtücher“ wurde gesendet.,Your “Towels” request has been sent.,Solicitarea „Prosoape” a fost trimisă.,Požadavek „Ručníky“ byl odeslán.,Хавлии,Handtücher,Towels,Prosoape,Ručníky,,,,,,,,,,,,,Уборка номера,Полотенца,,Закажите «Полотенца» в службе уборки номера.,,Запрос «Полотенца» отправлен.,Полотенца,,,Хавлии|хавлии|кърпи за стаята|чисти кърпи,Towels|towels|clean towels|room towels,Handtücher|handtücher|frische handtücher,Prosoape|prosoape|prosoape curate,Ručníky|ručníky|čisté ručníky,Полотенца|полотенца|чистые полотенца,request_item|linen|room_towels,housekeeping,
toilet_paper,request,housekeeping,services,True,2,toilet-paper,quantity,housekeeping,,toilet_paper,False,True,1,6,False,none,,False,,,,,,True,True,True,instant,Камериерки,Housekeeping,Housekeeping,Curățenie,Úklid pokoje,Тоалетна хартия,Toilettenpapier,Toilet paper,Hârtie igienică,Toaletní papír,,,,,,Заявете „Тоалетна хартия“ от екипа на камериерките.,„Toilettenpapier“ beim Housekeeping anfragen.,Request “Toilet paper” from housekeeping.,Solicitați „Hârtie igienică” de la serviciul de curățenie.,Požádejte úklid o „Toaletní papír“.,,,,,,Заявката „Тоалетна хартия“ е изпратена.,Ihre Anfrage „Toilettenpapier“ wurde gesendet.,Your “Toilet paper” request has been sent.,Solicitarea „Hârtie igienică” a fost trimisă.,Požadavek „Toaletní papír“ byl odeslán.,Тоалетна хартия,Toilettenpapier,Toilet paper,Hârtie igienică,Toaletní papír,,,,,,,,,,,,,Уборка номера,Туалетная бумага,,Закажите «Туалетная бумага» в службе уборки номера.,,Запрос «Туалетная бумага» отправлен.,Туалетная бумага,,,Тоалетна хартия,Toilet paper,Toilettenpapier,Hârtie igienică,Toaletní papír,Туалетная бумага,request_item|bathroom_supply,housekeeping,
extra_pillow,request,housekeeping,services,True,3,pillow,quantity,housekeeping,,extra_pillow,False,True,1,4,False,none,,False,,,,,,True,True,True,instant,Камериерки,Housekeeping,Housekeeping,Curățenie,Úklid pokoje,Допълнителна възглавница,Zusatzkissen,Extra pillow,Pernă suplimentară,Polštář navíc,,,,,,Заявете „Допълнителна възглавница“ от екипа на камериерките.,„Zusatzkissen“ beim Housekeeping anfragen.,Request “Extra pillow” from housekeeping.,Solicitați „Pernă suplimentară” de la serviciul de curățenie.,Požádejte úklid o „Polštář navíc“.,,,,,,Заявката „Допълнителна възглавница“ е изпратена.,Ihre Anfrage „Zusatzkissen“ wurde gesendet.,Your “Extra pillow” request has been sent.,Solicitarea „Pernă suplimentară” a fost trimisă.,Požadavek „Polštář navíc“ byl odeslán.,Допълнителна възглавница,Zusatzkissen,Extra pillow,Pernă suplimentară,Polštář navíc,,,,,,,,,,,,,Уборка номера,Дополнительная подушка,,Закажите «Дополнительная подушка» в службе уборки номера.,,Запрос «Дополнительная подушка» отправлен.,Дополнительная подушка,,,Допълнителна възглавница,Extra pillow,Zusatzkissen,Pernă suplimentară,Polštář navíc,Дополнительная подушка,request_item|sleep_comfort|pillow,housekeeping,
extra_blanket,request,housekeeping,services,True,4,blanket,quantity,housekeeping,,extra_blanket,False,True,1,3,False,none,,False,,,,,,True,True,True,instant,Камериерки,Housekeeping,Housekeeping,Curățenie,Úklid pokoje,Допълнителна завивка,Zusatzdecke,Extra blanket,Pătură suplimentară,Přikrývka navíc,,,,,,Заявете „Допълнителна завивка“ от екипа на камериерките.,„Zusatzdecke“ beim Housekeeping anfragen.,Request “Extra blanket” from housekeeping.,Solicitați „Pătură suplimentară” de la serviciul de curățenie.,Požádejte úklid o „Přikrývka navíc“.,,,,,,Заявката „Допълнителна завивка“ е изпратена.,Ihre Anfrage „Zusatzdecke“ wurde gesendet.,Your “Extra blanket” request has been sent.,Solicitarea „Pătură suplimentară” a fost trimisă.,Požadavek „Přikrývka navíc“ byl odeslán.,Допълнителна завивка,Zusatzdecke,Extra blanket,Pătură suplimentară,Přikrývka navíc,,,,,,,,,,,,,Уборка номера,Дополнительное одеяло,,Закажите «Дополнительное одеяло» в службе уборки номера.,,Запрос «Дополнительное одеяло» отправлен.,Дополнительное одеяло,,,Допълнителна завивка|завивка|одеяло|допълнително одеяло,Extra blanket|blanket|extra duvet,Zusatzdecke|decke|zusatzdecke,Pătură suplimentară|pătură|pilotă suplimentară,Přikrývka navíc|deka|přikrývka navíc,Дополнительное одеяло|одеяло|дополнительное одеяло,request_item|sleep_comfort|blanket,housekeeping,
bathrobe,request,housekeeping,services,True,5,bath,quantity,housekeeping,,bathrobe,False,True,1,4,False,none,,False,,,,,,True,True,True,instant,Камериерки,Housekeeping,Housekeeping,Curățenie,Úklid pokoje,Халат,Bademantel,Bathrobe,Halat de baie,Župan,,,,,,Заявете „Халат“ от екипа на камериерките.,„Bademantel“ beim Housekeeping anfragen.,Request “Bathrobe” from housekeeping.,Solicitați „Halat de baie” de la serviciul de curățenie.,Požádejte úklid o „Župan“.,,,,,,Заявката „Халат“ е изпратена.,Ihre Anfrage „Bademantel“ wurde gesendet.,Your “Bathrobe” request has been sent.,Solicitarea „Halat de baie” a fost trimisă.,Požadavek „Župan“ byl odeslán.,Халат,Bademantel,Bathrobe,Halat de baie,Župan,,,,,,,,,,,,,Уборка номера,Халат,,Закажите «Халат» в службе уборки номера.,,Запрос «Халат» отправлен.,Халат,,,Халат|халат|халати,Bathrobe|bathrobe|robe,Bademantel|bademantel,Halat de baie|halat|halat de baie,Župan|župan,Халат|халат|банный халат,request_item|room_comfort|bathrobe,housekeeping,
slippers,request,housekeeping,services,True,6,shoe,quantity,housekeeping,,slippers,False,True,1,4,False,none,,False,,,,,,True,True,True,instant,Камериерки,Housekeeping,Housekeeping,Curățenie,Úklid pokoje,Чехли,Hausschuhe,Slippers,Papuci,Pantofle,,,,,,Заявете „Чехли“ от екипа на камериерките.,„Hausschuhe“ beim Housekeeping anfragen.,Request “Slippers” from housekeeping.,Solicitați „Papuci” de la serviciul de curățenie.,Požádejte úklid o „Pantofle“.,,,,,,Заявката „Чехли“ е изпратена.,Ihre Anfrage „Hausschuhe“ wurde gesendet.,Your “Slippers” request has been sent.,Solicitarea „Papuci” a fost trimisă.,Požadavek „Pantofle“ byl odeslán.,Чехли,Hausschuhe,Slippers,Papuci,Pantofle,,,,,,,,,,,,,Уборка номера,Тапочки,,Закажите «Тапочки» в службе уборки номера.,,Запрос «Тапочки» отправлен.,Тапочки,,,Чехли,Slippers,Hausschuhe,Papuci,Pantofle,Тапочки,request_item|room_comfort|slippers,housekeeping,
baby_cot,request,housekeeping,services,True,7,baby,standard,housekeeping,,baby_cot,True,False,1,1,False,none,,False,,,,,,True,True,True,staff_required,Камериерки,Housekeeping,Housekeeping,Curățenie,Úklid pokoje,Бебешко легло,Babybett,Baby cot,Pătuț pentru bebeluși,Dětská postýlka,,,,,,Заявете „Бебешко легло“ от екипа на камериерките.,„Babybett“ beim Housekeeping anfragen.,Request “Baby cot” from housekeeping.,Solicitați „Pătuț pentru bebeluși” de la serviciul de curățenie.,Požádejte úklid o „Dětská postýlka“.,,,,,,Заявката „Бебешко легло“ е изпратена.,Ihre Anfrage „Babybett“ wurde gesendet.,Your “Baby cot” request has been sent.,Solicitarea „Pătuț pentru bebeluși” a fost trimisă.,Požadavek „Dětská postýlka“ byl odeslán.,Бебешко легло,Babybett,Baby cot,Pătuț pentru bebeluși,Dětská postýlka,,,,,,,,,,,,,Уборка номера,Детская кроватка,,Закажите «Детская кроватка» в службе уборки номера.,,Запрос «Детская кроватка» отправлен.,Детская кроватка,,,Бебешко легло|бебешко легло|кошара за бебе|детско креватче,Baby cot|baby cot|crib|baby bed,Babybett|babybett|kinderbett,Pătuț pentru bebeluși|pătuț|pat pentru bebeluș,Dětská postýlka|dětská postýlka|postýlka,Детская кроватка|детская кроватка|кроватка для ребёнка|детская кровать,request_item|baby|family|baby_cot,housekeeping,
iron,request,housekeeping,services,True,8,iron,standard,housekeeping,,iron,False,False,1,1,False,none,,False,,,,,,True,True,True,instant,Камериерки,Housekeeping,Housekeeping,Curățenie,Úklid pokoje,Ютия и дъска,Bügeleisen und Bügelbrett,Iron and ironing board,Fier și masă de călcat,Žehlička a žehlicí prkno,,,,,,Заявете „Ютия и дъска“ от екипа на камериерките.,„Bügeleisen und Bügelbrett“ beim Housekeeping anfragen.,Request “Iron and ironing board” from housekeeping.,Solicitați „Fier și masă de călcat” de la serviciul de curățenie.,Požádejte úklid o „Žehlička a žehlicí prkno“.,,,,,,Заявката „Ютия и дъска“ е изпратена.,Ihre Anfrage „Bügeleisen und Bügelbrett“ wurde gesendet.,Your “Iron and ironing board” request has been sent.,Solicitarea „Fier și masă de călcat” a fost trimisă.,Požadavek „Žehlička a žehlicí prkno“ byl odeslán.,Ютия и дъска,Bügeleisen und Bügelbrett,Iron and ironing board,Fier și masă de călcat,Žehlička a žehlicí prkno,,,,,,,,,,,,,Уборка номера,Утюг и гладильная доска,,Закажите «Утюг и гладильная доска» в службе уборки номера.,,Запрос «Утюг и гладильная доска» отправлен.,Утюг и гладильная доска,,,Ютия и дъска|ютия|дъска за гладене|ютия и дъска,Iron and ironing board|iron|ironing board,Bügeleisen und Bügelbrett|bügeleisen|bügelbrett,Fier și masă de călcat|fier de călcat|masă de călcat,Žehlička a žehlicí prkno|žehlička|žehlicí prkno,Утюг и гладильная доска|утюг|гладильная доска,request_item|ironing|iron_board,housekeeping,
laundry,request,housekeeping,services,True,9,laundry,standard,housekeeping,,laundry,True,False,1,1,False,none,,False,,,,,,True,True,True,staff_required,Камериерки,Housekeeping,Housekeeping,Curățenie,Úklid pokoje,Пране,Wäscheservice,Laundry service,Serviciu de spălătorie,Prádelna,,,,,,Заявете „Пране“ от екипа на камериерките.,„Wäscheservice“ beim Housekeeping anfragen.,Request “Laundry service” from housekeeping.,Solicitați „Serviciu de spălătorie” de la serviciul de curățenie.,Požádejte úklid o „Prádelna“.,,,,,,Заявката „Пране“ е изпратена.,Ihre Anfrage „Wäscheservice“ wurde gesendet.,Your “Laundry service” request has been sent.,Solicitarea „Serviciu de spălătorie” a fost trimisă.,Požadavek „Prádelna“ byl odeslán.,Пране,Wäscheservice,Laundry service,Serviciu de spălătorie,Prádelna,,,,,,,,,,,,,Уборка номера,Прачечная,,Закажите «Прачечная» в службе уборки номера.,,Запрос «Прачечная» отправлен.,Прачечная,,,Пране|пране|пералня|изпиране на дрехи,Laundry service|laundry|washing clothes,Wäscheservice|wäsche|wäscheservice,Serviciu de spălătorie|spălătorie|spălat haine,Prádelna|prádelna|praní prádla,Прачечная|прачечная|стирка одежды,request_service|laundry,housekeeping,
room_cleaning_request,request,housekeeping,services,False,10,cleaning,standard,housekeeping,,room_cleaning_request,False,False,1,1,False,none,,False,,,,,,True,True,False,instant,Камериерки,Housekeeping,Housekeeping,Curățenie,Úklid pokoje,Почистване на стаята,Zimmerreinigung,Room cleaning,Curățarea camerei,Úklid pokoje,,,,,,Заявете „Почистване на стаята“ от екипа на камериерките.,„Zimmerreinigung“ beim Housekeeping anfragen.,Request “Room cleaning” from housekeeping.,Solicitați „Curățarea camerei” de la serviciul de curățenie.,Požádejte úklid o „Úklid pokoje“.,,,,,,Заявката „Почистване на стаята“ е изпратена.,Ihre Anfrage „Zimmerreinigung“ wurde gesendet.,Your “Room cleaning” request has been sent.,Solicitarea „Curățarea camerei” a fost trimisă.,Požadavek „Úklid pokoje“ byl odeslán.,Почистване на стаята,Zimmerreinigung,Room cleaning,Curățarea camerei,Úklid pokoje,,,,,,,,,,,,,Уборка номера,Уборка номера,,Закажите «Уборка номера» в службе уборки номера.,,Запрос «Уборка номера» отправлен.,Уборка номера,,,Почистване на стаята,Room cleaning,Zimmerreinigung,Curățarea camerei,Úklid pokoje,Уборка номера,request_service|room_cleaning,housekeeping,
